date,average_price_rs_kg,highest_price_rs_kg,district,grade
2023-07-16,1033.0,1200.0,Kurunegala,H-1
2023-07-16,2833.0,2900.0,Ratnapura,M-4
2023-07-16,2833.0,2900.0,Ratnapura,M-5
2023-07-23,2450.0,2500.0,Ratnapura,M-4
2023-07-23,2450.0,2500.0,Ratnapura,M-5
2023-07-23,1033.0,1200.0,Kurunegala,H-1
2023-07-30,2916.0,2950.0,Ratnapura,M-5
2023-07-30,1033.0,1200.0,Kurunegala,H-1
2023-07-30,2916.0,2950.0,Ratnapura,M-4
2023-08-06,2433.0,2500.0,Ratnapura,M-5
2023-08-06,2433.0,2500.0,Ratnapura,M-4
2023-08-06,1033.0,1200.0,Kurunegala,H-1
2023-08-13,2016.0,2050.0,Ratnapura,M-4
2023-08-13,2016.0,2050.0,Ratnapura,M-5
2023-08-13,1033.0,1200.0,Kurunegala,H-1
2023-08-20,1867.0,2000.0,Kurunegala,H-1
2023-08-27,1900.0,2000.0,Monaragala,H-Faq
2023-09-10,3150.0,3200.0,Hambantota,Gorosu
2023-09-17,3150.0,3200.0,Hambantota,Gorosu
2023-09-24,2300.0,2300.0,Kurunegala,M-4
2023-09-24,3150.0,3200.0,Hambantota,Gorosu
2023-10-01,2300.0,2300.0,Kurunegala,M-4
2023-10-01,3150.0,3200.0,Hambantota,Gorosu
2023-10-08,1733.0,2000.0,Matara,Heen
2023-10-08,3150.0,3200.0,Hambantota,Gorosu
2023-10-08,2300.0,2300.0,Kurunegala,M-4
2023-10-15,3150.0,3200.0,Hambantota,Gorosu
2023-10-15,2300.0,2300.0,Kurunegala,M-4
2023-10-22,3150.0,3200.0,Hambantota,Gorosu
2023-10-22,2300.0,2300.0,Kurunegala,M-4
2023-10-29,3150.0,3200.0,Hambantota,Gorosu
2023-10-29,2300.0,2300.0,Kurunegala,M-4
2023-10-29,1450.0,1600.0,Kalutara,Gorosu
2023-11-05,1450.0,1600.0,Kalutara,Gorosu
2023-11-05,2300.0,2300.0,Kurunegala,M-4
2023-11-05,3150.0,3200.0,Hambantota,Gorosu
2023-11-12,2300.0,2300.0,Kurunegala,M-4
2023-11-12,3150.0,3200.0,Hambantota,Gorosu
2023-11-12,1450.0,1600.0,Kalutara,Gorosu
2023-11-19,2300.0,2300.0,Kurunegala,M-4
2023-11-19,3150.0,3200.0,Hambantota,Gorosu
2023-11-19,1450.0,1600.0,Kalutara,Gorosu
2023-11-26,1450.0,1600.0,Kalutara,Gorosu
2023-11-26,2450.0,2500.0,Hambantota,Gorosu
2023-11-26,2300.0,2300.0,Kurunegala,M-4
2023-12-03,2300.0,2300.0,Kurunegala,M-4
2023-12-03,1450.0,1600.0,Kalutara,Gorosu
2023-12-10,1450.0,1600.0,Kalutara,Gorosu
2023-12-10,1800.0,1800.0,Kurunegala,M-4
2023-12-17,1450.0,1600.0,Kalutara,Gorosu
2023-12-24,1450.0,1600.0,Kalutara,Gorosu
2023-12-31,1450.0,1600.0,Kalutara,Gorosu
2024-01-07,1450.0,1600.0,Kalutara,Gorosu
2024-01-14,2000.0,2000.0,Kalutara,Gorosu
2024-02-11,1550.0,1550.0,Badulla,C-5 Sp
2024-02-18,1550.0,1550.0,Badulla,C-5 Sp
2024-02-25,1550.0,1550.0,Badulla,C-5 Sp
2024-03-03,1550.0,1550.0,Badulla,C-5 Sp
2024-03-10,1550.0,1550.0,Badulla,C-5 Sp
2024-03-17,1550.0,1550.0,Badulla,C-5 Sp
2024-03-24,1550.0,1550.0,Badulla,C-5 Sp
2024-03-31,1550.0,1550.0,Badulla,C-5 Sp
2024-04-07,1550.0,1550.0,Badulla,C-5 Sp
2024-04-14,1550.0,1550.0,Badulla,C-5 Sp
2024-04-21,1550.0,1550.0,Badulla,C-5 Sp
2024-04-28,3800.0,3800.0,Badulla,C-5 Sp
2024-05-26,3500.0,3500.0,Monaragala,C-5
2024-06-02,3350.0,3400.0,Monaragala,C-5
